file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00189_0093_317687_to_318592,དེ་ལྟ་ནའང་ ,de lta na'ang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00189_0093_317687_to_318592.wav,STT_AB,3,11,0.905,wav16k/STT_AB00189_0093_317687_to_318592.wav,དེ་ལྟ་ནའང་
STT_PC0009_0040_302024_to_305800,ཨེ་ནས་ད་ལྟའི་དང་ཡིན་ཅུན་ཟེར་མྱི་འདི་ཞི་ཅིང་ཕིང་འོག་ལ་ཡ་ལས་ཀ་བྱེད་མྱི་ཡིན་པ་དང་།  ,e nas da lta'i dang yin cun zer myi 'di zhi cing phing 'og la ya las ka byed myi yin pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0009_0040_302024_to_305800.wav,STT_PC,3,81,3.776,wav16k/STT_PC0009_0040_302024_to_305800.wav,ཨེ་ནས་ད་ལྟའི་དང་ཡུ་ཅུན་ཟེར་མྱི་འདེ་ཞི་ཅིན་ཕིང་འོག་ལ་ཡ་ལས་ཀ་བྱེད་མྱི་ཡིན་པ་དང་།
STT_AB00275_0530_3072226_to_3079121,སྔོན་ཆོས་རྒྱལ་སྲོང་བཙན་སྒམ་པོས་ཀ་བ་ཤིང་ལོ་ཅན་དུ་གཏེར་དུ་སྦས་པའི་དཀར་ཆག་གི་ཤོག་དྲིལ།  ,sngon chos rgyal srong btsan sgam pos ka ba shing lo can du gter du sbas pa'i dkar chag gi shog dril/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00275_0530_3072226_to_3079121.wav,STT_AB,3,85,6.895,wav16k/STT_AB00275_0530_3072226_to_3079121.wav,སྔོན་ཆོས་རྒྱལ་སྲོང་བཙན་སྒམ་པོས་ཀ་བ་ཤིང་ལོ་ཅན་དུ་གཏེར་དུ་སྦས་པའི་དཀའ་ཆག་གི་ཤོག་འཁྲིལ།
STT_AB00206_0206_1033097_to_1035127,རྒྱལ་སྲས་ཀྱི་ཐུགས་ཡིད་རབ་ཏུ་དགྱེས་ཏེ།  ,rgyal sras kyi thugs yid rab tu dgyes te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00206_0206_1033097_to_1035127.wav,STT_AB,3,39,2.03,wav16k/STT_AB00206_0206_1033097_to_1035127.wav,རྒྱལ་སྲས་ཀྱི་ཐུགས་ཡིད་རབ་ཏུ་དགྱེས་ཏེ།
STT_MV0756_0263_1825654_to_1835342,ཐག་གཅོད་ཡག་པོ་བྱེད་མ་ཐུབ་ཙང་། རང་ལ་སེམས་སྡུག་ཞེ་དྲག་བྱུང་ཡོད་རེད་ཟེར་གི། ལྷག་པར་དུ་ཅང་ཊན་གི་དོན་དག་འདི།  ,thag gcod yag po byed ma thub tsang /_rang la sems sdug zhe drag byung yod red zer gi/_lhag par du cang Tan gi don dag 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0756_0263_1825654_to_1835342.wav,STT_MV,3,105,9.688,wav16k/STT_MV0756_0263_1825654_to_1835342.wav,ཐག་གཅོད་ཡག་པོ་བྱེད་མ་ཐུབ་ཙང་། རང་ལ་སེམས་སྡུག་ཞེ་དྲག་བྱུང་ཡོད་རེད་ཟེར་གིས། ལྷག་པར་དུ་ཅང་ཌན་གི་དོན་དག་འདེ།
STT_PC0091_0141_878337_to_880609,ལེའུ་ཧྲོའོ་ཇཱེ་དང་ཁོ་རང་ཚོའི་བུ་གུ་དང་འདི་གས་འདི་རེད།  ,le'u hro'o jA+e dang kho rang tsho'i bu gu dang 'di gas 'di red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0091_0141_878337_to_880609.wav,STT_PC,3,55,2.272,wav16k/STT_PC0091_0141_878337_to_880609.wav,ལེའུ་ཧྲོ་ཇི་ཁོ་རང་ཚོ་དང་ཁོ་རང་ཚོའི་བུ་གུ་དང་དེ་གས་དེ་རེད།
STT_CS-L-2015_2017-M_M-D_D-B01_B01-1_1-R_R-01_0181_2341407_to_2345093,འཛིན་གྲྭ་ག་ཚོད་རེད། ལྔ་པ་བྷི་རེད།  ,'dzin grwa ga tshod red/_lnga pa b+hi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2017-M_M-D_D-B01_B01-1_1-R_R-01_0181_2341407_to_2345093.wav,STT_CS,3,35,3.686,wav16k/STT_CS-L-2015_2017-M_M-D_D-B01_B01-1_1-R_R-01_0181_2341407_to_2345093.wav,འཛིན་གྲྭ་ག་ཚོད་རེད། ཨ་བི།
STT_AB00275_0533_3089923_to_3095810,བུ་མོ་རྣམས་ཀྱིས་མཛད་པའི་དར་དཀར་གསལ་བ། རྒྱལ་པོ་རང་གི་བཀའ་ཆེམས་ཆེན་མོ་ཀ་ཁོལ་མའོ།  ,bu mo rnams kyis mdzad pa'i dar dkar gsal ba/_rgyal po rang gi bka' chems chen mo ka khol ma'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00275_0533_3089923_to_3095810.wav,STT_AB,3,80,5.887,wav16k/STT_AB00275_0533_3089923_to_3095810.wav,བུ་མོ་རྣམས་ཀྱིས་མཛད་པའི་དར་དཀར་གསལ་བ། རྒྱལ་པོ་རང་གི་བཀའ་ཆེམས་ཆེན་མོ་ཀ་ཁོ་མའོ།
STT_MV0912_0299_2068670_to_2074835,པཱ་ལགས། ངས་འབར་རྫས་འཁྱེར་བྱས་ཁོ་ཚོ་འཚོལ་ཀར་ཡོང་། ཁོ་ཚོས་བྱས་མེད་སྐད་ཆ་དྲིས་པ་ཡིན། ཡིན་ནས་མཐའ་མ་དེར་ཁོ་ཚོས་ང་ཟིམ་བྱུང་།  ,pA lags/_ngas 'bar rdzas 'khyer byas kho tsho 'tshol kar yong /_kho tshos byas med skad cha dris pa yin/_yin nas mtha' ma der kho tshos nga zim byung /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0912_0299_2068670_to_2074835.wav,STT_MV,3,120,6.165,wav16k/STT_MV0912_0299_2068670_to_2074835.wav,པ་ལགས། ངས་འབར་རྫས་ཁེར་བྱས་ཁོང་ཚོས་བཙལ་ག་ཡོང་། ཁོང་ཚོས་བྱས་མས་སྐད་ཆ་དྲིས་པ་ཡིན། ཡིན་ནས་མཐའ་མ་དེར་ཁོང་ཚོས་ང་བཟུམ་བྱུང་།
STT_MV0912_0300_2074835_to_2081271,ངས་ཀུང་ཧྲི་འབར་གཏོར་བྱེད་རྩིས་མེད་ལ། ང་རང་ལ་ཡིད་ཆེས་ཀི་ཡིན།  ,ngas kung hri 'bar gtor byed rtsis med la/_nga rang la yid ches ki yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0912_0300_2074835_to_2081271.wav,STT_MV,3,61,6.436,wav16k/STT_MV0912_0300_2074835_to_2081271.wav,ངས་ཀུང་ཧྲི་འབར་གཏོར་བྱེད་རྩིས་མེད་ལ། ང་རང་ལ་ཡིད་ཆེས་ཀིས།
